model,prix
,319500
1977,7000
1980,43000
1983,55020
1984,168000
1985,333020
1986,422000
1987,146500
1988,219000
1989,398000
1990,301000
1991,234000
1992,469000
1993,531500
1994,494000
1995,789000
1996,303000
1997,532000
1998,629000
1999,1044000
2000,1182000
2001,2223000
2002,2995000
2003,3105000
2004,6739000
2005,4258542
2006,6836000
2007,8179500
2008,9999500
2009,11506660
2010,9988711
2011,14927815
2012,22509500
2013,16164000
2014,21685000
2015,28540172
2016,18155678
2017,9379140
2018,6847000
2019,1229000
