Count of date_annonce,ville
702,CASABLANCA
241,RABAT
160,MARRAKECH
114,FES
114,TANGER
103,AGADIR
64,SALE
61,KENITRA
54,MEKNES
44,MOHAMMEDIA
37,OUJDA
35,TETOUAN
28,EL JADIDA
22,BENI MELLAL
22,KHOURIBGA
21,NADOR
20,SAFI
15,BERRECHID
14,SETTAT
13,LAAYOUNE
12,TEMARA
10,AUTRE
10,ERRACHIDIA
9,ESSAOUIRA
9,KELAA SRAGHNA
8,GUELMIM
8,LARACHE
8,TAZA
7,BERKANE
7,SIDI KACEM
7,TIZNIT
6,OUARZAZATE
5,KHEMISSET
5,KHENIFRA
5,SEFROU
5,TAROUDANNT
4,AL HOCEIMA
4,BEN SLIMANE
4,BOUZNIKA
4,YOUSSOUFIA
3,AZROU
3,FQUIH BEN SALAH
3,GUERCIF
3,HAD SOUALEM
3,SKHIRAT
3,TIFLET
3,TINGHIR
2,AIT BENHADDOU
2,ARFOUD
2,ASILAH
2,AZEMMOUR
2,BOUSKOURA
2,CHICHAOUA
2,DAKHLA
2,HARHOURA
2,IFRANE
2,MIDELT
2,OUEZZANE
2,OULAD TEïMA
2,SIDI SLIMANE
2,ZAGORA
1,AIT DAOUD
1,CHEFCHAOUEN
1,DAR BOUAZZA
1,DEMNATE
1,EL HAJEB
1,INEZGANE
1,MARTIL
1,MEDIOUNA
1,MOULAY BOUSSELHAM
1,TAOURIRTE
