Volkswagen Polo Diesel 2008 ;2008 ;70 000 DH ;Diesel ;RABAT ;  Hier 18:50  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Golf polo essence 2006 ;2006 ;52 000 DH ;Essence ;RABAT ;  Hier 08:13  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
9olf 4 ;2001 ;73 000 DH ;Diesel ;MEKNES ;  Avant hier 14:54  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
9olf 4 ;2001 ;73 000 DH ;Diesel ;MEKNES ;  Avant hier 14:53  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
9olf 4 ;2001 ;73 000 DH ;Diesel ;MEKNES ;  Avant hier 14:52  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Golf 4 à vendre ;2 ;71 000 DH ;Diesel ;CASABLANCA ;  19-12-2019  17:28  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Passat B6 ;2008 ;91 000 DH ;Diesel ;CASABLANCA ;  18-12-2019  15:22  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Golf 2 a vendre ;1986 ;23 000 DH ;Diesel ;TANGER ;  16-12-2019  10:03  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Touareg Unique sur Casa ;2013 ;275 000 DH ;Diesel ;CASABLANCA ;  09-12-2019  11:13  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Golf6 ;2011 ;145 000 DH ;Diesel ;OUJDA ;  05-12-2019  11:06  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
VOLKSWAGEN Passat Limousine 2.0 tdi ;2016 ;195 000 DH ;Diesel ;FES ;  18-11-2019  15:55  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
VOLKSWAGEN Touran 2.0l tdi highline ;2012 ;188 000 DH ;Diesel ;FES ;  18-11-2019  15:51  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Occasion à ne pas rater ;2011 ;145 DH ;Diesel ;LARACHE ;  18-11-2019  00:09  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Volkswagen passat Diesel automatique ;2014 ;178 000 DH ;Diesel ;FES ;  16-11-2019  19:33  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Volkswagen Passat Diesel 1.6L ;2013 ;175 000 DH ;Diesel ;FES ;  16-11-2019  19:24  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
golf2 a vendre ;1991 ;44 000 DH ;Diesel ;MEKNES ;  10-11-2019  22:55  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Touran auto almagne ;2019 ;200 000 DH ;Diesel ;CASABLANCA ;  03-11-2019  12:27  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
polo 2004 ;2004 ;45 000 DH ;Diesel ;KENITRA ;  31-10-2019  11:16  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
volkswagen passat diesel ;1997 ;58 000 DH ;Diesel ;MEKNES ;  29-10-2019  15:26  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
Touareg V6 2.5 TDI  133 000km - 120 000 dh ;2007 ;120 000 DH ;Diesel ;HARHOURA ;  24-10-2019  20:40  ;https://www.autopark.ma/annonces/chercher?marque=volkswagen
